week, cumTotOrders, cumCusOrders, cumStoreOrders, cumCost, curTotOrders, curCusOrders, curStoreOrders, curCost, currentCount
1, 4348, 2568, 1780, 19070.83825208074, 32, 32, 0, 249.24142300054422, 32
1, 4454, 2604, 1850, 19411.106295690366, 106, 36, 70, 340.2680436096278, 38
1, 4496, 2646, 1850, 19679.07928519255, 42, 42, 0, 267.97298950218305, 42
51, 4576, 2676, 1900, 19994.249041436793, 80, 30, 50, 315.1697562442441, 31
1, 4621, 2721, 1900, 20267.251047847927, 45, 45, 0, 273.00200641113514, 45
1, 4701, 2761, 1940, 20583.420804092173, 80, 40, 40, 316.1697562442441, 41
1, 4745, 2805, 1940, 20854.77176178231, 44, 44, 0, 271.35095769013947, 44
1, 4810, 2840, 1970, 21153.81291322568, 65, 35, 30, 299.04115144336777, 36
51, 4901, 2881, 2020, 21480.971975164444, 91, 41, 50, 327.1590619387661, 42
1, 4976, 2916, 2060, 21791.355070802714, 75, 35, 40, 310.38309563827124, 36
1, 5021, 2961, 2060, 22064.35707721385, 45, 45, 0, 273.00200641113514, 45
1, 5087, 2997, 2090, 22364.684065491027, 66, 36, 30, 300.32698827717985, 37
51, 5175, 3035, 2140, 22688.665496851907, 88, 38, 50, 323.98143136087856, 39
1, 5255, 3075, 2180, 23004.83525309615, 80, 40, 40, 316.1697562442441, 41
1, 5328, 3118, 2210, 23313.836531665325, 73, 43, 30, 309.00127856917646, 44
51, 5417, 3157, 2260, 23638.884397229398, 89, 39, 50, 325.0478655640733, 40
1, 5532, 3202, 2330, 23987.556614291603, 115, 45, 70, 348.6722170622053, 47
1, 5569, 3239, 2330, 24246.58918574757, 37, 37, 0, 259.03257145596604, 37
51, 5649, 3269, 2380, 24561.758941991815, 80, 30, 50, 315.1697562442441, 31
1, 5698, 3318, 2380, 24841.134073098274, 49, 49, 0, 279.3751311064591, 49
1, 5739, 3359, 2380, 25107.3780265418, 41, 41, 0, 266.24395344352433, 41
51, 5852, 3392, 2460, 25453.217070411312, 113, 33, 80, 345.83904386951343, 35
1, 5929, 3429, 2500, 25765.942734177843, 77, 37, 40, 312.72566376652986, 38
1, 5979, 3479, 2500, 26046.857529025092, 50, 50, 0, 280.9147948472494, 50
51, 6105, 3525, 2580, 26404.29442490854, 126, 46, 80, 357.43689588345075, 48
1, 6142, 3562, 2580, 26663.326996364507, 37, 37, 0, 259.03257145596604, 37
1, 6227, 3607, 2620, 26985.06402403559, 85, 45, 40, 321.73702767108114, 46
51, 6312, 3642, 2670, 27305.801051706672, 85, 35, 50, 320.73702767108114, 36
